question,answer,category,priority,last_updated,seed_question,seed_question_hash,paraphrase_rank,is_paraphrase,generation_model
배송 기간은 어느 정도 소요되나요?,결제 완료 후 평균 2~3영업일 소요됩니다.,shipping,high,2026-02-19,배송은 얼마나 걸리나요?,b98e19eeafa0968e87195b59dd769599c7950254,1,True,gemini-paraphraser
상품 배송은 며칠 안에 받을 수 있나요?,결제 완료 후 평균 2~3영업일 소요됩니다.,shipping,high,2026-02-19,배송은 얼마나 걸리나요?,b98e19eeafa0968e87195b59dd769599c7950254,2,True,gemini-paraphraser
배송 완료까지 시간이 얼마나 걸릴까요?,결제 완료 후 평균 2~3영업일 소요됩니다.,shipping,high,2026-02-19,배송은 얼마나 걸리나요?,b98e19eeafa0968e87195b59dd769599c7950254,3,True,gemini-paraphraser
주문한 상품은 언제쯤 배송되나요?,결제 완료 후 평균 2~3영업일 소요됩니다.,shipping,high,2026-02-19,배송은 얼마나 걸리나요?,b98e19eeafa0968e87195b59dd769599c7950254,4,True,gemini-paraphraser
배송 예상 소요 시간을 알려주세요.,결제 완료 후 평균 2~3영업일 소요됩니다.,shipping,high,2026-02-19,배송은 얼마나 걸리나요?,b98e19eeafa0968e87195b59dd769599c7950254,5,True,gemini-paraphraser
무료 배송은 얼마 이상 구매해야 적용되나요?,"실결제금액 50,000원 이상이면 무료 배송입니다.",shipping,high,2026-02-19,무료 배송 기준은 무엇인가요?,4f9f65a7a65d346d852f47fde092db58861dc16d,1,True,gemini-paraphraser
배송비가 무료로 되는 조건이 궁금합니다.,"실결제금액 50,000원 이상이면 무료 배송입니다.",shipping,high,2026-02-19,무료 배송 기준은 무엇인가요?,4f9f65a7a65d346d852f47fde092db58861dc16d,2,True,gemini-paraphraser
어느 정도 금액을 사야 무료로 배송되나요?,"실결제금액 50,000원 이상이면 무료 배송입니다.",shipping,high,2026-02-19,무료 배송 기준은 무엇인가요?,4f9f65a7a65d346d852f47fde092db58861dc16d,3,True,gemini-paraphraser
무료 배송을 받으려면 최소 구매 금액이 얼마인가요?,"실결제금액 50,000원 이상이면 무료 배송입니다.",shipping,high,2026-02-19,무료 배송 기준은 무엇인가요?,4f9f65a7a65d346d852f47fde092db58861dc16d,4,True,gemini-paraphraser
배송비 무료 혜택을 받기 위한 기준이 있나요?,"실결제금액 50,000원 이상이면 무료 배송입니다.",shipping,high,2026-02-19,무료 배송 기준은 무엇인가요?,4f9f65a7a65d346d852f47fde092db58861dc16d,5,True,gemini-paraphraser
